Country_code,Country_name,GOR_code,GOR_name,Old_LA_Code,New_LA_Code,LA_Name,ELG_1_Emerge,ELG_1_Expect,ELG_1_Exceed,ELG_1_ At least,ELG_2_Emerge,ELG_2_Expect,ELG_2_Exceed,ELG_2_ At least,ELG_3_Emerge,ELG_3_Expect,ELG_3_Exceed,ELG_3_ At least,ELG_4_Emerge,ELG_4_Expect,ELG_4_Exceed,ELG_4_ At least,ELG_5_Emerge,ELG_5_Expect,ELG_5_Exceed,ELG_5_ At least,ELG_6_Emerge,ELG_6_Expect,ELG_6_Exceed,ELG_6_ At least,ELG_7_Emerge,ELG_7_Expect,ELG_7_Exceed,ELG_7_ At least,ELG_8_Emerge,ELG_8_Expect,ELG_8_Exceed,ELG_8_ At least,ELG_9_Emerge,ELG_9_Expect,ELG_9_Exceed,ELG_9_ At least,ELG_10_Emerge,ELG_10_Expect,ELG_10_Exceed,ELG_10_ At least,ELG_11_Emerge,ELG_11_Expect,ELG_11_Exceed,ELG_11_ At least,ELG_12_Emerge,ELG_12_Expect,ELG_12_Exceed,ELG_12_ At least,ELG_13_Emerge,ELG_13_Expect,ELG_13_Exceed,ELG_13_ At least,ELG_14_Emerge,ELG_14_Expect,ELG_14_Exceed,ELG_14_ At least,ELG_15_Emerge,ELG_15_Expect,ELG_15_Exceed,ELG_15_ At least,ELG_16_Emerge,ELG_16_Expect,ELG_16_Exceed,ELG_16_ At least,ELG_17_Emerge,ELG_17_Expect,ELG_17_Exceed,ELG_17_ At least
E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,1290,5166,2268,7434,1258,5121,2345,7466,1295,5491,1938,7429,995,5728,2001,7729,779,5817,2128,7945,965,5764,1995,7759,1071,5857,1796,7653,961,5956,1807,7763,2010,4830,1884,6714,2355,5092,1277,6369,1870,5183,1671,6854,1614,5607,1503,7110,1235,6055,1434,7489,1215,5888,1621,7509,770,6570,1384,7954,1043,6070,1611,7681,1079,6068,1577,7645
E92000001,England,E12000004,East Midlands,831,E06000015,Derby,592,2102,810,2912,606,2106,792,2898,637,2181,686,2867,448,2430,626,3056,431,2423,650,3073,508,2364,632,2996,526,2383,595,2978,467,2430,607,3037,900,1969,635,2604,1019,2001,484,2485,844,2042,618,2660,781,2186,537,2723,657,2359,488,2847,636,2352,516,2868,393,2582,529,3111,548,2380,576,2956,575,2439,490,2929
E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,961,5087,1863,6950,983,5082,1846,6928,991,5387,1533,6920,735,5834,1342,7176,551,5766,1594,7360,772,5704,1435,7139,840,5728,1343,7071,728,5884,1299,7183,1748,4728,1435,6163,2098,5007,806,5813,1557,5085,1269,6354,1308,5402,1201,6603,1010,5774,1127,6901,976,5621,1314,6935,450,6348,1113,7461,718,5899,1294,7193,753,6032,1126,7158
E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,937,2789,1111,3900,955,2806,1076,3882,1007,2920,910,3830,682,3252,903,4155,677,3222,938,4160,767,3238,832,4070,785,3337,715,4052,676,3437,724,4161,1467,2648,722,3370,1569,2785,483,3268,1322,2879,636,3515,1217,3103,517,3620,1039,3248,550,3798,1059,3208,570,3778,470,3211,1156,4367,780,3449,608,4057,878,3408,551,3959
E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,42,252,110,362,39,258,107,365,40,276,88,364,24,293,87,380,15,279,110,389,35,282,87,369,42,283,79,362,32,299,73,372,63,247,94,341,89,255,60,315,65,257,82,339,49,274,81,355,37,295,72,367,34,279,91,370,12,317,75,392,30,295,79,374,30,302,72,374
E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,1401,6594,1780,8374,1443,6538,1794,8332,1455,6886,1434,8320,1119,7363,1293,8656,857,7372,1546,8918,1099,7320,1356,8676,1223,7365,1187,8552,1057,7562,1156,8718,2498,5920,1357,7277,2834,6173,768,6941,2188,6425,1162,7587,1908,6757,1110,7867,1387,7461,927,8388,1392,7319,1064,8383,796,8116,863,8979,1228,7460,1087,8547,1274,7566,935,8501
E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,609,2615,661,3276,673,2591,621,3212,663,2688,534,3222,451,3006,428,3434,427,2977,481,3458,544,2867,474,3341,590,2896,399,3295,489,2985,411,3396,1153,2251,481,2732,1272,2361,252,2613,1017,2424,444,2868,960,2535,390,2925,790,2787,308,3095,796,2768,321,3089,357,3169,359,3528,541,2964,380,3344,700,2862,323,3185
E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,1135,5178,1918,7096,1165,5200,1866,7066,1201,5449,1581,7030,797,5757,1677,7434,673,6048,1510,7558,840,5912,1479,7391,926,6042,1263,7305,797,6160,1274,7434,1944,4611,1676,6287,2326,4866,1039,5905,1781,5140,1310,6450,1528,5489,1214,6703,1100,5979,1152,7131,1130,5821,1280,7101,465,6561,1205,7766,811,6129,1291,7420,855,6208,1168,7376
E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,1400,6188,2065,8253,1414,6208,2031,8239,1512,6539,1602,8141,1083,6900,1670,8570,848,6980,1825,8805,1097,6929,1627,8556,1146,7108,1399,8507,1060,7212,1381,8593,2202,5717,1734,7451,2655,6127,871,6998,2028,6195,1430,7625,1781,6604,1268,7872,1402,7171,1080,8251,1397,7020,1236,8256,737,7884,1032,8916,1154,7230,1269,8499,1175,7349,1129,8478
E92000001,England,E12000006,East of England,821,E06000032,Luton,547,2135,666,2801,573,2113,662,2775,591,2206,551,2757,334,2488,526,3014,390,2431,527,2958,463,2373,512,2885,473,2461,414,2875,414,2498,436,2934,862,1970,516,2486,988,2025,335,2360,797,2089,462,2551,741,2181,426,2607,624,2330,394,2724,615,2336,397,2733,344,2510,494,3004,464,2462,422,2884,504,2468,376,2844
E92000001,England,E12000006,East of England,822,E06000055,Bedford Borough,405,1446,462,1908,437,1411,465,1876,438,1464,411,1875,258,1710,345,2055,289,1679,345,2024,360,1614,339,1953,390,1653,270,1923,304,1702,307,2009,586,1365,362,1727,692,1395,226,1621,549,1484,280,1764,532,1576,205,1781,446,1649,218,1867,456,1612,245,1857,212,1935,166,2101,366,1674,273,1947,394,1688,231,1919
E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,411,2485,745,3230,411,2517,713,3230,409,2655,577,3232,317,2861,463,3324,248,2931,462,3393,317,2803,521,3324,372,2853,416,3269,306,2932,403,3335,708,2340,593,2933,903,2526,212,2738,664,2505,472,2977,542,2724,375,3099,405,2964,272,3236,414,2916,311,3227,201,2950,490,3440,354,2926,361,3287,369,2986,286,3272
E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,1061,5038,1534,6572,1065,4903,1665,6568,1098,5182,1353,6535,790,5725,1118,6843,647,5875,1111,6986,814,5676,1143,6819,885,5774,974,6748,763,5963,907,6870,1763,4341,1529,5870,2041,4758,834,5592,1514,4921,1198,6119,1351,5216,1066,6282,1024,5780,829,6609,1047,5493,1093,6586,553,6392,688,7080,843,5708,1082,6790,844,5815,974,6789
E92000001,England,E12000006,East of England,874,E06000031,Peterborough,603,1633,931,2564,641,1628,898,2526,637,1757,773,2530,489,1972,706,2678,462,1899,806,2705,514,1879,774,2653,539,1901,727,2628,492,1919,756,2675,967,1541,659,2200,1097,1680,390,2070,861,1736,570,2306,871,1784,512,2296,745,1831,591,2422,744,1810,613,2423,376,2205,586,2791,621,1972,574,2546,662,1983,522,2505
